,mol,flag
946,OC1=CC2=C(C=CC=C2)C(=C1)C3=C(F)C4=NC(=NC(=C4C=C3Cl)N5CCN(CC5)C(=O)C=C)NCCOCCOCCOCCOC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O,0
394,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C4(F)CC4)C(C)(C)C)C(=C2)OCCCCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O,0
1023,COC1=C2C(=CC3=C(OC(=CC3=O)C4=CC=C(C=C4)C5=C[N](CCOC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5)C2=C(OC)C=C1)OC,1
816,NC1=NC=NC2=C1C(=N[N]2[C@@H]3CCCN(C3)C(=O)C4=C[N](CCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4)C8=CC=C(OC9=CC=CC=C9)C=C8,1
88,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCOCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
918,CC[C@H]1[C@@H](COC2=C3C=C(OC)C(=CC3=C(C=N2)C#CCN4CCC5(CC4)CCN(CC5)C6=NC=C(C=N6)C(=O)N[C@H](C(=O)N7C[C@H](O)C[C@H]7C(=O)NCC8=CC=C(C=C8)C9=C(C)N=CS9)C(C)(C)C)C(N)=O)NC(=O)[C@H]1F,1
706,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)N4CCN(CC4)C(=O)CCC(=O)NC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)C=C2Cl)OCC8=CC=CC(=C8)C#N)C9=CC=CC=C9,1
382,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(C)(C)C)C=C2,1
1002,COC1=CC=CC=C1[S](=O)(=O)NC2=CC=C3N(C)C(=O)C4=CC(=CC2=C34)CCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O,0
432,CC(C)[C@H](NC(=O)COCCCOCCCCOCCCOC1=CC=C(NC2=NC=C(Br)C(=N2)NCCCN(C)C(=O)C3CCC3)C=C1)C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6,1
